SWV ITM Data Console - ITM Port: 0
C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -4145, Y = -917, Z = 14036
Gyro Offsets: X = -466, Y = 163, Z = -193
ax, ay, az, gx, gy, gz
0.1600, -0.0275, -0.0288, 14.0687, -37.7939, 47.4733
0.1253, -0.1215, -0.0054, 4.3893, -35.2824, 25.6412
0.1136, -0.1176, -0.0071, -6.3053, -23.7176, 13.8550
0.1597, -0.0488, -0.0027, -14.4504, -17.2290, 3.4427
0.2234, 0.0489, 0.0305, -2.2672, -20.9237, -5.4962
0.2515, 0.0845, 0.0864, 14.0000, -30.6412, -1.9924
0.2293, 0.0565, 0.0913, 19.2977, -35.1908, 4.0916
0.2098, 0.0135, 0.0950, 12.7023, -35.7252, 11.4427
0.1407, 0.1121, 0.1260, 6.9847, -39.3053, 8.9542
0.2776, 0.0945, 0.0967, 7.8397, -42.2519, 3.1145
0.3018, 0.0508, 0.0579, 10.8855, -40.1832, 11.0382
0.3221, 0.0630, 0.0637, 6.9237, -38.9237, 13.4580
0.3321, 0.0743, 0.0493, 8.5267, -32.3359, 17.1450
0.3309, 0.0599, 0.0520, 4.8473, -29.2061, 24.5725
0.3077, 0.0440, 0.0388, 0.4733, -22.1298, 29.5038
0.2991, 0.0316, 0.0342, -2.8779, -18.1374, 24.9924
0.3172, 0.0281, 0.0547, -7.6565, -11.2901, 20.4809
0.2996, -0.0009, 0.0525, -7.2214, -1.5115, 22.9618
0.3260, 0.0103, 0.0403, -14.8168, 8.0458, 19.6947
0.3389, 0.0079, 0.0410, -16.4046, 10.7710, 17.7023
0.3895, 0.0193, 0.0972, -20.2595, 9.7252, 10.1679
0.3878, 0.0403, 0.0774, -32.0458, 16.3282, 11.9313
0.3609, -0.0063, 0.0569, -39.5115, 27.0382, 25.8244
0.3331, -0.0424, 0.0271, -36.8321, 26.2366, 15.0153
0.3484, 0.0206, 0.0745, -23.4886, 16.2901, 13.4351
0.3441, -0.0097, 0.0410, -17.4351, 15.1145, 23.0458
0.3763, 0.0670, 0.0469, -27.9618, 33.2214, 32.7099
