SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.1571, -0.3243, 0.2518, 65.0611, -1.4351, -24.8550
0.1537, -0.3341, 0.2762, 4.3664, 44.9313, -7.9695
0.1788, -0.3187, 0.4745, -5.4275, 46.7023, -5.7863
0.2177, -0.2777, 0.4855, 16.7863, 23.2748, -9.8855
0.2118, -0.2496, 0.4030, 42.0992, 19.2672, -12.6947
0.2023, -0.2372, 0.3314, 58.7557, 22.9695, -8.4504
0.2172, -0.2157, 0.2655, 49.6489, 33.8550, 5.4962
0.2057, -0.2069, 0.2260, 46.6031, 43.0000, 17.7481
0.1957, -0.2286, 0.3051, 38.0687, 40.4198, 21.4886
0.0836, -0.3795, 0.4010, 21.9008, 51.8321, 3.3588
0.0890, -0.3851, 0.4530, -5.0305, 47.0000, 5.7099
0.0885, -0.2631, 0.3627, -11.9313, 35.1450, 5.6718
0.1664, -0.2260, 0.2321, 13.7710, 12.4198, -14.5878
0.1659, -0.2223, 0.1383, 8.3817, 13.8321, -2.9313
0.1796, -0.1896, 0.1158, 1.8550, 13.3206, 1.6565
0.1989, -0.1823, 0.1285, 2.6794, 5.2672, 6.0458
0.1918, -0.1813, 0.1276, 7.5573, 0.5496, 4.2519
0.1949, -0.1871, 0.1395, 10.6031, -9.7481, 0.7786
0.1764, -0.2130, 0.1947, 13.9313, -20.2214, -7.6183
0.1334, -0.2404, 0.2513, 5.0840, -19.8855, -9.6565
0.1444, -0.2228, 0.2906, -3.8626, -11.9618, -9.2824
0.1420, -0.1779, 0.3148, -4.0076, -5.9008, 2.0916
0.1862, -0.1444, 0.3309, 9.5878, -15.0611, 3.0534
0.1678, -0.1527, 0.2980, 19.7557, -25.1069, 11.9389
0.1620, -0.1866, 0.3605, 25.4809, -30.5725, 15.4427
0.1676, -0.2213, 0.4845, 28.9771, -30.3511, 18.7481
0.1193, -0.2562, 0.4579, 25.5191, -26.8473, 17.9237
0.0929, -0.3234, 0.4999, 16.0611, -17.3893, 18.0611
0.1022, -0.3060, 0.5216, 2.1603, -19.3282, 14.9160
0.1227, -0.2809, 0.5206, -4.3664, -19.4886, 9.4885
0.1573, -0.2592, 0.5035, -11.1450, -17.2595, 5.1908
0.1307, -0.2731, 0.4725, -24.3435, -13.2290, 11.7481
0.1766, -0.2479, 0.4999, -26.3588, -15.8855, 7.6718
0.1942, -0.2487, 0.4933, -21.0153, -27.5496, 9.7557
0.1866, -0.2335, 0.4259, -14.5420, -28.0534, 14.4962
0.2069, -0.2382, 0.4034, -9.8473, -20.9313, 20.7176
0.2103, -0.2379, 0.3751, -4.4733, -18.1145, 19.9771
0.2257, -0.2487, 0.3746, 1.9389, -21.1298, 20.4733
0.2560, -0.2113, 0.3724, 2.6565, -29.2595, 12.8397
0.2640, -0.1937, 0.3558, 3.7863, -43.8550, 5.0916
0.2975, -0.1635, 0.3207, 1.1221, -67.6718, -8.3435
0.2855, -0.1469, 0.2948, 0.9695, -76.3588, -8.7252
0.2909, -0.1366, 0.2719, 6.4656, -66.8550, -11.2977
0.3151, -0.1459, 0.2240, 6.1756, -51.2824, -12.7557
0.3202, -0.1642, 0.1923, -2.0992, -36.1450, -11.4504
0.3182, -0.2074, 0.1544, -12.3893, -21.4580, -10.5038
0.3109, -0.2345, 0.1251, -25.8931, -16.9313, -3.0153
0.3282, -0.2250, 0.1478, -35.6183, -20.6336, -1.7252
0.3209, -0.2404, 0.1442, -38.6947, -27.5573, 2.8931
0.3109, -0.2462, 0.0824, -31.2366, -31.4504, 2.1298
0.3358, -0.2435, 0.0394, -24.3740, -28.0305, 2.6641
0.3751, -0.2225, 0.0011, -30.3588, -11.3817, 2.3130
0.3942, -0.2203, 0.0031, -38.6641, 7.0840, 3.5573
0.3969, -0.2101, 0.0109, -39.1145, 20.2977, 1.2748
0.3981, -0.2074, 0.0590, -38.0916, 31.7099, -4.1069
0.4020, -0.2147, 0.1005, -39.6870, 40.0534, -6.1450
0.3895, -0.1979, 0.0927, -38.1756, 45.3740, -8.8015
0.3988, -0.1864, 0.1256, -22.7786, 38.4885, -16.0000
0.3793, -0.2052, 0.0844, -7.9313, 28.3740, -12.0840
0.3878, -0.1937, 0.0887, 0.4275, 23.9389, -7.0840
0.3722, -0.1869, 0.0526, 12.7481, 20.1145, -0.5954
0.3619, -0.1879, 0.0492, 23.6794, 17.9771, 3.5878
0.3448, -0.2167, 0.0328, 22.2214, 21.5114, 5.6565
0.3549, -0.1825, 0.0521, 11.4809, 26.9466, 6.6794
0.3842, -0.1263, 0.1107, -0.0992, 29.0611, 5.8015
0.3673, -0.1393, 0.1183, -6.3130, 31.7481, 5.3740
0.3402, -0.1923, 0.0580, -15.3588, 35.4351, 4.1069
0.3036, -0.2125, -0.0050, -12.6641, 40.0763, -1.5344
0.3251, -0.2006, -0.0118, -0.5038, 40.7634, -5.2061
0.3297, -0.1964, -0.0463, 9.8321, 38.8168, -5.2901
0.3202, -0.2045, -0.0878, 15.0076, 38.6947, -2.6183
0.3134, -0.1984, -0.0463, 21.0000, 35.9771, 0.6183
0.2877, -0.1974, -0.0392, 23.3664, 34.4427, 2.8168
0.2767, -0.2269, 0.0199, 19.0687, 34.2061, 7.8626
0.2504, -0.2181, 0.0170, 17.3893, 30.6641, 2.3206
0.2484, -0.2289, -0.0092, 14.4198, 26.6260, 1.7176
0.2628, -0.2325, -0.0687, 11.2519, 25.7710, -9.1756
0.2552, -0.2552, -0.0663, -0.0611, 22.8931, -12.4427
0.2443, -0.2770, -0.0673, -11.5954, 23.7252, -12.9695
0.2448, -0.2382, -0.0233, -19.1527, 24.4275, -13.4427
0.2421, -0.2115, -0.0162, -21.0153, 21.4733, -9.0153
0.2469, -0.2015, -0.0121, -21.0458, 18.7786, -4.9237
0.2523, -0.1857, 0.0414, -18.4427, 15.4580, -2.9237
0.2198, -0.2023, 0.0829, -17.1603, 13.1908, -2.6641
0.2145, -0.2279, 0.0690, -18.3130, 12.5573, 0.3282
0.2406, -0.2350, 0.0319, -15.6107, 12.0382, -1.2061
0.2572, -0.2452, -0.0306, -8.4733, 12.5496, -2.0076
0.2645, -0.2391, -0.0914, 2.3435, 14.2443, -0.3740
0.2736, -0.2567, -0.1171, 8.8473, 15.9389, 0.6794
